Date,Price,Open,High,Low
09-Jun-24,69.6506,69.3105,69.8478,69.1367
08-Jun-24,69.3101,69.347,69.5721,69.2224
07-Jun-24,69.3479,70.7934,71.9565,68.6207
06-Jun-24,70.7915,71.0836,71.6161,70.1787
05-Jun-24,71.0837,70.5509,71.7444,70.3971
04-Jun-24,70.5492,68.808,71.0342,68.5643
03-Jun-24,68.8078,67.7633,70.131,67.6168
02-Jun-24,67.7735,67.7608,68.4475,67.3306
01-Jun-24,67.7608,67.5339,67.861,67.4496
31-May-24,67.5301,68.3523,69.0182,66.6768
30-May-24,68.3547,67.6313,69.5047,67.1384
29-May-24,67.6358,68.3662,68.8976,67.1432
28-May-24,68.366,69.4283,69.5607,67.2999
27-May-24,69.4287,68.5146,70.6383,68.2752
26-May-24,68.5148,69.2872,69.494,68.2945
25-May-24,69.2844,68.5482,69.5588,68.5161
24-May-24,68.5476,67.9711,69.212,66.6858
23-May-24,67.9757,69.1663,70.041,66.5781
22-May-24,69.1554,70.141,70.5934,69.0243
21-May-24,70.1399,71.4305,71.872,69.1817
20-May-24,71.4227,66.2783,71.4828,66.0765
19-May-24,66.2791,66.919,67.6625,65.9373
18-May-24,66.9175,67.0366,67.3614,66.6361
17-May-24,67.0368,65.2311,67.4207,65.1217
16-May-24,65.231,66.2196,66.6439,64.6233
15-May-24,66.2251,61.5694,66.4171,61.3575
14-May-24,61.5694,62.9368,63.1026,61.1569
13-May-24,62.9372,61.4805,63.4432,60.779
12-May-24,61.48,60.8266,61.8477,60.6471
11-May-24,60.8266,60.7968,61.4875,60.4993
10-May-24,60.7969,63.0743,63.4543,60.2518
09-May-24,63.075,61.2073,63.4133,60.6714
08-May-24,61.2075,62.3049,62.9974,60.8942
07-May-24,62.3177,63.1631,64.361,62.2941
06-May-24,63.1631,64.0058,65.4488,62.7307
05-May-24,64.0064,63.8977,64.5872,62.9239
04-May-24,63.8883,62.8871,64.466,62.5991
03-May-24,62.8775,59.1043,63.2984,58.8308
02-May-24,59.1213,58.3349,59.548,56.9898
01-May-24,58.3312,60.665,60.8275,56.6435
30-Apr-24,60.6666,63.8524,64.7002,59.2287
29-Apr-24,63.8601,63.1137,64.1931,61.8372
28-Apr-24,63.1097,63.4579,64.3461,62.8278
27-Apr-24,63.4568,63.7658,63.9167,62.5077
26-Apr-24,63.7664,64.4971,64.7713,63.3549
25-Apr-24,64.4971,64.2871,65.2475,62.8892
24-Apr-24,64.2857,66.4149,67.0605,63.6069
23-Apr-24,66.415,66.8295,67.18,65.8483
22-Apr-24,66.8293,64.9401,67.208,64.5275
21-Apr-24,64.9402,64.9421,65.6806,64.2675
20-Apr-24,64.9611,63.8176,65.3756,63.1317
19-Apr-24,63.7991,63.4805,65.4412,59.6933
18-Apr-24,63.4814,61.2789,64.0924,60.8223
17-Apr-24,61.2789,63.8023,64.4515,59.8208
16-Apr-24,63.8053,63.4161,64.2744,61.7156
15-Apr-24,63.4119,65.6966,66.8051,62.3795
14-Apr-24,65.6974,63.9095,65.7582,62.1747
13-Apr-24,63.8499,67.1374,67.921,61.0655
12-Apr-24,67.1519,70.0149,71.2269,65.8293
11-Apr-24,70.0116,70.6204,71.2492,69.5861
10-Apr-24,70.6221,69.1478,71.0869,67.57
09-Apr-24,69.148,71.6273,71.7372,68.2646
08-Apr-24,71.6301,69.358,72.7108,69.1105
07-Apr-24,69.3604,68.8973,70.2858,68.8494
06-Apr-24,68.8906,67.8305,69.632,67.4672
05-Apr-24,67.8306,68.4987,68.6922,66.0233
